Чек-лист и результаты выполнения тестов API Яндекс.Прилавок,,,,
,,,,
№,Описание,ОР,Статус,Ссылка на баг-репорт
Создание клиента POST /api/v1/users,,,,
"Параметр firstName (строка) :
Имя может содержать только русские или английские буквы, не менее 2 и не более 15 символов",,,,
1,"Допустимое количество символов (2)
body: {""firstName"": ""Аа"",""phone"": ""+74441237887"",""address"": ""г. Москва, ул. Хохотушкина, д. 16""}",Код и статус ответа 201 Created,,
,,Сгенерировался токен в параметре authToken,,
,,В таблицу Users в поля записаны переданные значения,,
2,"Допустимое количество символов (15)
body: {""firstName"": ""Ааааааааааааааа"",""phone"": ""+74441237887"",""address"": ""г. Москва, ул. Хохотушкина, д. 16""}",Код и статус ответа 201 Created,,
,,Сгенерировался токен в параметре authToken,,
,,В таблице Users в полях записаны переданные значения,,
3,"Количество символов меньше допустимого (1)
body: {""firstName"": ""А"",""phone"": ""+74441237887"",""address"": ""г. Москва, ул. Хохотушкина, д. 16""}",Код и статус ответа 400 Bad Request,,
,,"{""code"": 400, ""message"": ""Имя может содержать только русские или английские буквы, не менее 2 и не более 15 символов""}",,
4,"Количество символов больше допустимого (16)
body: {""firstName"": ""Аааааааааааааааа"",""phone"": ""+74441237887"",""address"": ""г. Москва, ул. Хохотушкина, д. 16""}",Код и статус ответа 400 Bad Request,,
,,"{""code"": 400, ""message"": ""Имя может содержать только русские или английские буквы, не менее 2 и не более 15 символов""}",,
5,"Разрешены английские буквы
{""firstName"": ""QWErty"",""phone"": ""+74441237887"",""address"": ""г. Москва, ул. Хохотушкина, д. 16""}",Код и статус ответа 201 Created,,
,,Сгенерировался токен в параметре authToken,,
,,В таблицу Users в поля записаны переданные значения,,
6,"Разрешены русские символы
{""firstName"": ""Мария"",""phone"": ""+74441237887"",""address"": ""г. Москва, ул. Хохотушкина, д. 16""}",Код и статус ответа 201 Created,,
,,Сгенерировался токен в параметре authToken,,
,,В таблице Users в полях записаны переданные значения,,
7,"Запрещены пробелы
body: {""firstName"": ""Человек и Ко"",""phone"": ""+74441237887"",""address"": ""г. Москва, ул. Хохотушкина, д. 16""}",Код и статус ответа 400 Bad Request,,
,,"{""code"": 400, ""message"": ""Имя может содержать только русские или английские буквы, не менее 2 и не более 15 символов""}",,
8,"Запрещены спецсимволы
body: {""firstName"": ""№%@"",""phone"": ""+74441237887"",""address"": ""г. Москва, ул. Хохотушкина, д. 16""}",Код и статус ответа 400 Bad Request,,
,,"{""code"": 400, ""message"": ""Имя может содержать только русские или английские буквы, не менее 2 и не более 15 символов""}",,
9,"Запрещены цифры
body: {""firstName"": ""123"",""phone"": ""+74441237887"",""address"": ""г. Москва, ул. Хохотушкина, д. 16""}",Код и статус ответа 400 Bad Request,,
,,"{""code"": 400, ""message"": ""Имя может содержать только русские или английские буквы, не менее 2 и не более 15 символов""}",,
10,"Параметр не передан в запросе
body: {""phone"": ""+74441237887"",""address"": ""г. Москва, ул. Хохотушкина, д. 16""}",Код и статус ответа 400 Bad Request,,
,,"{""code"": 400, ""message"": ""Не все необходимые параметры были переданы""}",,
11,"Передано пустое значение параметра
body: {""firstName"": """",""phone"": ""+74441237887"",""address"": ""г. Москва, ул. Хохотушкина, д. 16""}",Код и статус ответа 400 Bad Request,,
,,"{""code"": 400, ""message"": ""Не все необходимые параметры были переданы""}",,
12,"Передан другой тип параметра firstName: число
body: {""firstName"": 12,""phone"": ""+74441237887"",""address"": ""г. Москва, ул. Хохотушкина, д. 16""}",Код и статус ответа 400 Bad Request,,
